id,inputUrl,companyName,industry,result,matchScore,userId,createdAt
1,https://www.shimogamosaryo.co.jp/company/,株式会社下鴨茶寮,飲食業,"{""companyName"": ""株式会社下鴨茶寮"", ""cost"": ""初期10万円〜＋月額2.5万円/人"", ""field"": ""外食業"", ""headcount"": ""1〜5名"", ""industry"": ""飲食業"", ""reason"": ""老舗料亭であり、外食業分野での特定技能外国人の受け入れが可能です。人手不足の解消や多言語対応による顧客満足度向上に貢献できるでしょう。"", ""score"": 85}",85,1,2026-07-16 01:57:04
2,https://www.shimogamosaryo.co.jp/company/,株式会社下鴨茶寮,飲食業,"{""companyName"": ""株式会社下鴨茶寮"", ""cost"": ""初期10万円〜＋月額2.5万円/人"", ""field"": ""外食業"", ""headcount"": ""1〜5名"", ""industry"": ""飲食業"", ""reason"": ""老舗料亭であり、外食業分野での特定技能外国人の受け入れが可能です。特に調理や接客の分野で活躍が期待できます。ブランドイメージを維持しつつ、人手不足解消に繋がるでしょう。"", ""score"": 85}",85,1,2026-07-16 01:58:59
3,https://www.shimogamosaryo.co.jp/company/,株式会社下鴨茶寮,飲食業,"{""companyName"": ""株式会社下鴨茶寮"", ""cost"": ""初期10万円〜＋月額2.5万円/人"", ""field"": ""外食業"", ""headcount"": ""1〜5名"", ""industry"": ""飲食業"", ""reason"": ""老舗料亭であり、外食業分野での特定技能外国人の受け入れが可能です。人手不足の解消や国際化に貢献できるでしょう。"", ""score"": 85}",85,1,2026-07-16 01:59:37
30001,https://www.dmgmori.co.jp/,DMG森精機株式会社,機械製造業,"{""companyName"": ""DMG森精機株式会社"", ""cost"": ""初期10万円〜＋月額2.5万円/人"", ""field"": ""素形材・産業機械・電気電子情報関連製造業"", ""headcount"": ""10名以上"", ""industry"": ""機械製造業"", ""reason"": ""工作機械の製造・販売を手掛ける企業であり、素形材・産業機械・電気電子情報関連製造業分野の特定技能外国人材の活用余地が高いと判断しました。工場での生産ラインや機械組立など、多岐にわたる業務で活躍が期待されます。"", ""score"": 85}",85,1,2026-07-16 02:07:55
30002,https://www.fanuc.co.jp/,株式会社FANUC,製造業,"{""companyName"": ""株式会社FANUC"", ""cost"": ""初期10万円〜＋月額2.5万円/人"", ""field"": ""素形材・産業機械・電気電子情報関連製造業"", ""headcount"": ""10名以上"", ""industry"": ""製造業"", ""reason"": ""FA機器、ロボット、ロボマシンを製造しており、特定技能の「素形材・産業機械・電気電子情報関連製造業」分野に合致する。大規模企業であり、多くの外国人材の受入れ余地がある。"", ""score"": 85}",85,1,2026-07-16 02:08:20
60001,https://長崎電気軌道,長崎電気軌道,運輸業,"{""companyName"": ""長崎電気軌道"", ""cost"": ""初期10万円〜＋月額2.5万円/人"", ""field"": null, ""headcount"": ""1〜5名"", ""industry"": ""運輸業"", ""reason"": ""長崎電気軌道は路面電車を運行する運輸業であり、特定技能の12分野には直接該当する分野がありません。ただし、清掃業務や事務補助などで間接的に活用できる可能性はあります。"", ""score"": 30}",30,1,2026-07-16 02:09:26
90001,https://www.skylark.co.jp,すかいらーくグループ,飲食業,"{""companyName"": ""すかいらーくグループ"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": ""外食業"", ""headcount"": ""10名以上"", ""industry"": ""飲食業"", ""reason"": ""a)外食業に直接該当(40点)。b)飲食業界は人手不足が深刻で現場職が多い(30点)。c)公式サイトから事業内容と規模が明確に確認できた(23点)。"", ""score"": 93}",93,,2026-07-16 02:12:57
90002,https://www.shimizu.co.jp,シミヅ産業株式会社,総合商社,"{""companyName"": ""シミヅ産業株式会社"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": null, ""headcount"": ""1ー5名"", ""industry"": ""総合商社"", ""reason"": ""事業内容がモノづくりの総合商社であり、特定技能12分野に直接該当する業務は確認できませんでした(a:0点)。業界全体の人手不足はありますが、現場職の比重は低いと推測されます(b:10点)。事業内容は明確に確認できました(c:20点)。"", ""score"": 30}",30,,2026-07-16 02:13:09
90003,https://www.nomura.co.jp,野村證券,金融業（証券）,"{""companyName"": ""野村證券"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": null, ""headcount"": ""10名以上"", ""industry"": ""金融業（証券）"", ""reason"": ""a) 特定技能12分野には該当しないため0点。b) 金融業界は人手不足ではあるものの、現場職の比重は低く5点。c) 企業情報や事業内容は明確に確認できたため5点。"", ""score"": 10}",10,,2026-07-16 02:13:17
120001,https://www.joshin-dentetsu.co.jp/,上信電鉄株式会社,鉄道業,"{""companyName"": ""上信電鉄株式会社"", ""cost"": ""初期10万円ー＋月額2.5万円/人"", ""field"": null, ""headcount"": ""1ー5名"", ""industry"": ""鉄道業"", ""reason"": ""a) 特定技能12分野に直接該当する業務は見当たりません（5点）。b) 鉄道業は人手不足が深刻ですが、特定技能の対象外です（20点）。c) 会社概要や事業内容が明確に確認できました（10点）。"", ""score"": 35}",35,1,2026-07-16 02:19:22
