id,managementId,name,prefecture,address,phone,permitType,permitDate,permitExpiry,receiveCountries,jobCodes,kaigoSupport,migrationStatus,statusConfirmedAt,statusNote,isVerified,verifiedAt,createdAt,updatedAt,nameKana,city,offices,verifiedNote,hasPenalty,penaltyDetail,penaltySource,sourceDate
1,I-0001,アイアジア国際交流協同組合,北海道,北海道帯広市西4条南15-9 共栄ビル,155665505,general,2020-09-03,2032-09-02,インドネシア、モンゴル、ベトナム,"[""1-1"", ""1-2"", ""3-4"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-12"", ""3-13"", ""3-15"", ""3-16"", ""3-17"", ""3-21"", ""4-2"", ""4-3"", ""4-4"", ""4-5"", ""4-6"", ""4-7"", ""4-8"", ""4-9"", ""6-6"", ""7-6"", ""7-7"", ""7-11"", ""7-12"", ""7-13""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,帯広市,,,0,,,
2,I-0002,ISS北海道事業協同組合,北海道,北海道江別市朝日町30-33,113983780,general,2018-10-31,2030-10-30,中国、インドネシア、ミャンマー、フィリピン、ベトナム,"[""1-1"", ""1-2"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-15"", ""3-21"", ""4-1"", ""4-2"", ""4-3"", ""4-4"", ""4-5"", ""4-7"", ""4-9"", ""4-10"", ""6-14"", ""7-6"", ""7-8""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,江別市,,,0,,,
3,I-0003,ISD協同組合,北海道,北海道千歳市東雲町5-18-23,123297831,general,2023-09-22,2028-09-21,インドネシア、ベトナム,"[""1-1"", ""3-2"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-12"", ""3-13"", ""3-21"", ""4-3"", ""4-4"", ""4-5"", ""7-6""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,千歳市,,,0,,,
4,I-0004,アグリマリン協同組合,北海道,北海道旭川市一条通22-1974-137,166567776,general,2024-08-30,2029-08-29,バングラデシュ、中国、インドネシア、ベトナム,"[""1-1"", ""1-2"", ""3-1"", ""3-6"", ""3-7"", ""3-8"", ""3-18"", ""3-19"", ""3-21"", ""4-1"", ""4-2"", ""4-3"", ""4-4"", ""4-5"", ""4-6"", ""4-7"", ""4-8"", ""4-9"", ""4-10"", ""4-11"", ""7-7"", ""7-11"", ""7-13""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,旭川市,,,0,,,
5,I-0005,アジア・ヒューマン・コミュニティ協同組合,北海道,北海道札幌市中央区南九条西3-2-1 マジソンハイツ206,115960045,general,2025-01-31,2030-01-30,インドネシア、ベトナム,"[""7-14"", ""7-16""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市中央区,,,0,,,
6,I-0006,アシストワンパートナーズ協同組合,北海道,北海道河東郡音更町木野大通西14-1ー15,155435011,general,2020-05-13,2032-05-12,中国、インドネシア、インド、カンボジア、ラオス、スリランカ、ミャンマー、モンゴル、ネパール、フィリピン、タイ、ベトナム,"[""1-1"", ""1-2"", ""2-2"", ""3-1"", ""3-2"", ""3-3"", ""3-4"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-9"", ""3-10"", ""3-12"", ""3-13"", ""3-14"", ""3-15"", ""3-16"", ""3-17"", ""3-18"", ""3-19"", ""3-20"", ""3-21"", ""4-3"", ""4-4"", ""4-9"", ""4-11"", ""5-6"", ""5-7"", ""6-1"", ""6-4"", ""6-6"", ""6-7"", ""6-8"", ""6-11"", ""6-12"", ""6-13"", ""6-14"", ""7-1"", ""7-3"", ""7-4"", ""7-6"", ""7-7"", ""7-8"", ""7-9"", ""7-11"", ""7-12"", ""7-13"", ""7-15"", ""7-16"", ""7-17"", ""7-21""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,河東郡音更町,,,0,,,
7,I-0007,網走国際交流協同組合,北海道,北海道網走市字藻琴211-50,152462447,general,2018-12-10,2030-12-09,中国、インドネシア、ベトナム,"[""1-2"", ""4-2"", ""4-4"", ""4-6""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,網走市,,,0,,,
8,I-0008,ウエストワード協同組合,北海道,北海道旭川市豊岡一条4-3-11,166560407,general,2022-08-08,2027-08-07,インドネシア、インド、ラオス、ミャンマー、モンゴル、タイ、ベトナム,"[""1-1"", ""1-2"", ""2-2"", ""3-2"", ""3-3"", ""3-5"", ""3-6"", ""3-8"", ""3-13"", ""3-17"", ""3-21"", ""4-4"", ""4-9"", ""6-7"", ""7-2"", ""7-6"", ""7-7"", ""7-12"", ""7-13"", ""7-15"", ""7-21""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,旭川市,,,0,,,
9,I-0009,A-BRIDGE事業協同組合,北海道,北海道札幌市東区北十四条東8-3-1 BEビル3F,117767751,general,2024-10-03,2029-10-02,インドネシア、ミャンマー、モンゴル、パキスタン、ベトナム,"[""1-1"", ""1-2"", ""1-3"", ""2-2"", ""3-5"", ""3-6"", ""3-7"", ""3-8"", ""3-10"", ""3-13"", ""3-15"", ""3-17"", ""3-18"", ""3-21"", ""4-2"", ""4-3"", ""4-4"", ""4-6"", ""4-7"", ""4-8"", ""4-9"", ""4-10"", ""4-11"", ""6-7"", ""6-8"", ""7-6"", ""7-7"", ""7-13"", ""7-18"", ""7-21""]",1,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,札幌市東区,,,0,,,
10,I-0010,渡島国際交流事業協同組合,北海道,北海道茅部郡森町字砂原2-188-1,137485111,general,2017-11-01,2029-10-31,中国、インドネシア、ベトナム,"[""4-3"", ""4-4""]",0,unconfirmed,,,0,,2026-07-30 07:18:26,2026-07-31 04:41:08,,茅部郡森町,,,0,,,
